model,n,accuracy,macro_f1,face_on_acc,dtl_acc,view_gap
Pose + Logistic Regression,478,0.899581589958159,0.8988732797424936,0.9051724137931034,0.8943089430894309,-0.01086347070367255
Pose + Linear SVM,478,0.8849372384937239,0.8845036865005489,0.8836206896551724,0.8861788617886179,0.0025581721334455576
CNN — MobileNetV2,478,0.9393305439330544,0.9393077439685781,0.9439655172413793,0.9349593495934959,-0.009006167647883423
"GPT-5 mini (CoT, high-detail) [n=48 subset]",48,0.375,0.27578781512605044,0.5217391304347826,0.24,-0.2817391304347826
