,Pose+LR,Pose+SVM,CNN,GPT-5 mini (n=48)
Address,0.9333333333333333,0.95,1.0,1.0
Toe-up,0.8333333333333334,0.8666666666666667,0.9666666666666667,0.0
Mid-backswing,0.8305084745762712,0.7627118644067796,0.9322033898305084,0.16666666666666666
Top,0.95,0.95,0.9333333333333333,0.6666666666666666
Mid-downswing,0.7796610169491526,0.7966101694915254,0.8983050847457628,0.0
Impact,0.9666666666666667,0.9,0.85,0.16666666666666666
Mid-followthrough,0.9333333333333333,0.9,0.9333333333333333,0.0
Finish,0.9666666666666667,0.95,1.0,1.0
